ItemID,DataID,N_RivID,N_SiteID,samID,Continent,Country,RefID,RiverName,Primer,Year,Month,Lon,Lat,SR
I009,D004,NR005,S005,I009_S005,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,2,-42.56993889,-16.74079167,12
I009,D004,NR005,S006,I009_S006,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,2,-42.11647222,-16.87441667,8
I009,D004,NR005,S007,I009_S007,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,2,-41.01466667,-16.42661111,10
I009,D004,NR005,S008,I009_S008,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,2,-40.58462222,-16.14061111,17
I009,D004,NR005,S009,I009_S009,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,2,-39.8916,-15.99751944,13
I009,D004,NR005,S010,I009_S010,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,2,-39.52418889,-15.94935833,15
I009,D004,NR005,S011,I009_S011,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,2,-38.87046111,-15.85000556,23
I010,D004,NR005,S001,I010_S001,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,3,-43.51643333,-18.12085,27
I010,D004,NR005,S002,I010_S002,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,3,-43.20739167,-17.31342778,27
I010,D004,NR005,S003,I010_S003,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,3,-42.73108333,-16.87716667,15
I010,D004,NR005,S004,I010_S004,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,3,-42.82944444,-16.60666667,10
I010,D004,NR005,S005,I010_S005,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,3,-42.56993889,-16.74079167,12
I010,D004,NR005,S006,I010_S006,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,3,-42.11647222,-16.87441667,17
I010,D004,NR005,S007,I010_S007,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,3,-41.01466667,-16.42661111,10
